ID,Place,Description,Rating
0, Puri , Puri in Odisha is one of the four must-visit pilgrimage sites for Hindus because of Jagannath Temple that forms the part of Char Dham in India. Puri is a beach city located on the coast of Bay of Bengal which is one of the favourites among people of West Bengal for a short trip. ,4.3
1, Bhubaneswar ," Bhubaneswar, the temple city of India, once known for its architecture and grand temples, is presently a thriving centre for commerce and business. ",4.1
2, Konark ," Konark, in the state of Orissa is renowned world over for the Sun Temple which is also a UNESCO World Heritage Site, the Annual dance festival and its beautiful sandy beaches. ",4.2
3, Chilika Lake ," Chilika Lake is the largest internal salt water lake in Asia, it is a paradise on earth for bird watchers and nature lovers. The pear-shaped lake is dotted with a few small islands and has fisheries and salt pans around its shore. The Chilika Lake also houses the most accommodating ecosystems in the... ",4.2
4, Udayagiri and Khandagiri Caves ," Udayagiri mean the mountain of the sunrise, a historical Hindu ritual site home to twenty rock-cut caves near Vidisha, Madhya Pradesh. Vishnu Padagiri is the otherwise known name of the place meaning ""the feet of Vishnu"". They are extensively carved with iconographies of Hindu Gods, namely Vishnu, D... ",
5, Cuttack ," Referred to as the cultural capital of Odisha, Cuttack is a commercial city with plenty of impressive tourist attractions. ",3.7
6, Gopalpur ," In the southern coastline of Odisha just 15 km from the city of Behrampur is located a quaint, tiny town of Gopalpur which was a sea port, bustling with trade and commerce, in the Colonial Era. ",4.2
7, Hirakud Dam ," Constructed across the Mahanadi River in Sambalpur, Odisha the Hirakud Dam is hailed as the longest human-made dams in India. Astonishingly, it is over 56km long and is the top pick among the locals as well as tourists to enjoy a refreshing day out. This marvellous piece of architecture construction... ",4.2
8, Bhitarkanika National Park ," Bhitarkanika National Park in Odisha, India is a paradise for nature lovers. It is home to some of the most spectacular flora and fauna, and is a great spot for bird and wildlife watching. Located in the Kendrapara district of Odisha, Bhitarkanika is known for its mangrove forests, which are home to... ",3.7
9, Satkosia Tiger Reserve ," The picturesque town of Satkosia, 160 km from Bhubaneswar, boasts of a wildlife sanctuary popularly known as the Satkosia Tiger Reserve since 1976. The sanctuary is home to tigers in the moist, deciduous forests of the Eastern Ghats. It is also home to elephants, birds and other animals that can be ... ",
10, Daringbadi ," Daringbadi is a hilly town in Odisha. Hidden a state famous for beaches and temples, this hill station lies peacefully at an elevation of 3000 feet waiting to be explored. Replete with pine trees, coffee gardens and splendid valleys, Daringbadi is known as the “Kashmir of Odisha”. A place where you ... ",2
11, Tikarpada Wildlife Sanctuary ," The Tikarpada Wildlife Sanctuary spreads across 795.52 square kilometers and does not fail to enthrall its visitors with its overwhelming beauty, lush green surrounding, the ever cherished rambling of River Mahanadi besides the very famous Satkosia gorge and large variety of species of wild animals,... ",3.4
12, Talasari Beach ," Located in Baleswar district of Odisha and at a distance of 10 Km from Digha, the Talasari beach is pristine, serene and has been bestowed with spectacular panorama. ",4.3
13, Sambalpur ," Sambalpur is the gateway to the western zone of Orissa. It abounds in prolific rivers, lavish hills, lush green forests and affluent wildlife. It is a beautiful amalgamation of modernity and culture. Holding a significant historical importance, the place also has a flourishing textile and handloom i... ",4.5
14, Chandipur ," Chandipur is a secluded seaside village of Baleshwar district stored safely on the coastline of Orissa. Chandipur is also locally known as Chandipur-on-sea. If nature's wonder fascinates you, Chandipur Beach is an amazing place to be. ",3.1
15, Simlipal National Park ," Reflecting the natural beauty of an era gone by, Simlipal National Park is in a beautiful and scenic town in Odisha. Situated in Mayurbhanj, it once used to be a hunting ground for the rulers of the province. Simlipal is the largest wildlife sanctuary in India and is also considered as one of the pr... ",4.1
16, Baripada ," At a distance of 248km from Kolkata and 256km from Bhubaneshwar, Baripada is a city, recognised by its beautiful culture and an essence of purity in nature. Its Rath Yatra is considered the biggest and oldest after Puri and thus Baripada is also known as Dwitiya Srikhetra (Second Puri) ",3
17, Rourkela ," Surrounded by hills and rivers, the city of Rourkela is located in the state of Odisha. Popularly called as the 'Steel City of Odisha' and Ispat Nagar, it is one of the first cities of the country to become commercialized for steel production.  Rourkela’s natural positioning in the lap of natur... ",3.4
18, Berhampur ," Berhampur, also known as Brahmapur is known as the home of Lord Brahma and is usually known as the silk city- the city which is famous for the lustrous ikkat silk sarees in different colours and patterns. ",3.5
19, Jeypore ," Jeypore, also spelled Jayepore, is a large city in the state of Odisha and is famous for its fresh water lakes, waterfalls and valleys. Jeypore is home to about 62 affiliated communities such as Gond, Dhruba, Paraja, Koya. ",5
20, Dhauli ," Dhauli is a small town 8 Km away south of Bhubaneswar, located on the bank of river Daya and holds great significance for the followers of lord Buddha. Dhauli is said to be the witness of the reform of Ashoka's character. ",3.8
21, Rayagada ," Rayagada is a district in Odisha with a rich history and a distinct culture which has, over the years, mingled with the local tribal culture. This district has many historical places to visit and is known for its cuisine, crafts and handmade products. ",5
22, Udayagiri and Khandagiri Caves ," Near Bhubaneswar lie the Udaygiri and Khandagiri Caves, carved around 1st century B.C. by Kharavela and successors. These 18 caves, 13 in Udaygiri and 15 in Khandagiri served as retreats for Jain ascetics seeking solitude. ",
23, Sri Jagannath Puri Temple ," Located in the sacred town of Puri, the Jagannath Temple or the pride of India was built in the 11th century by King Indradyumna. This glorious temple is the abode of Lord Jagannath who is a form of Lord Vishnu. It is the most revered pilgrimage site for Hindus and is included in the pious Char Dham... ",
24, Chilika Bird Festival , The Chilika Bird Festival is an annual celebration timed to coincide with the majestic congregation of 10 lakhs winged visitors representing 200 species at Mangalajodi during the winters in Odisha. This unique event allows participants to immerse themselves in the rich auditory tapestry created by t... ,
25, Putsil ," Putsil, a serene village nestled in Semiliguda Tehsil, Koraput District, Odisha, India, is situated 31 km south of the district headquarters Koraput and approximately 425 km from the state capital, Bhubaneswar. It shares its borders with Sunabeda Tehsil to the north, Pottangi Tehsil to the east, Nan... ",
26, Solapur ," Solapur, situated in the Bhandaripokhari Tehsil of Bhadrak District, Odisha, stands as a small yet significant village in the region. Located 21 km west of Bhadrak's district headquarters and 12 km from Bhandaripokhari, Solapur plays a crucial role as it straddles the border between Bhadrak and Jaja... ",
27, Mangalajodi ," Nestled on the northern banks of Chilika Lake in Odisha, Mangalajodi stands as a remarkable example of community-owned and managed wildlife conservation through ecotourism. Recognized as 'The Bird’s Paradise,' this village is a haven for avian enthusiasts, drawing over 300,000 birds, especially duri... ",
28, Nalbana Bird Sanctuary ," Nalbana Bird Sanctuary is situated on the Nalbana Island in Odisha, which is a part of the Chilika Lake- India’s largest brackish water lagoon. It is known for the large green spaces of land that are the refuge points of several migratory birds that flock here every year during the winter season. Fo... ",
29, Raghurajpur Artist Village ," Raghurajpur village is a heritage crafts village near Puri, known for Pattachitra paintings, as well as other art forms like palm leaf paintings, wood and stone carvings, papier mache, masks, coconut crafts, and Gotipua folk dance, the predecessor of classical Odissi dance style. The village is also... ",
